Vuosi,type,result,Sosialidemokraattinen Puolue,Perussuomalaiset,Kokoomus,Keskusta,Vihr,Vasemmistoliitto,Ruotsalainen Kansanpuolue,Kristillisdemokraatit,Liike Nyt,Remontti,Nuorsuomalaiset,Suomen Maaseudun Puolue,Kirjava Puolue,Liberaalinen Kansanpuolue,Suomen Kansan Demokraattinen Liitto,Demokraattinen Vaihtoehto,Perustuslaillinen Oikeistopuolue,SKYP,TPSL,Suomen Kansanpuolue,Vapaamielisten Liitto,Kansallinen Edistyspuolue,IKL,IKL + Kok.,PMP,SPP,Kansanpuolue,Ruotsalainen Vasemmisto,STPV,KrTL
1948,Eduskuntavaalit,Paikat,54,,33,56,,,13,,,,,,,,38,,,,,,,5,,,0,,,,,
1945,Eduskuntavaalit,Paikat,50,,28,49,,,14,,,,,,,,49,,,,,,,9,,,0,,,1,,
1939,Eduskuntavaalit,Paikat,85,,25,56,,,18,,,,,,,,,,,,,,,6,8,,2,,,0,,
1936,Eduskuntavaalit,Paikat,83,,20,53,,,21,,,,,,,,,,,,,,,7,14,,,1,1,,,
1933,Eduskuntavaalit,Paikat,78,,18,53,,,21,,,,,,,,,,,,,,,11,14,,,3,2,,,
1930,Eduskuntavaalit,Paikat,66,,42,59,,,20,,,,,,,,,,,,,,,11,,,,2,,1,,
1929,Eduskuntavaalit,Paikat,59,,28,60,,,23,,,,,,,,,,,,,,,7,,,,0,,,23,
1927,Eduskuntavaalit,Paikat,60,,34,52,,,24,,,,,,,,,,,,,,,10,,,,,,,20,
1924,Eduskuntavaalit,Paikat,63,,38,44,,,23,,,,,,,,,,,,,,,17,,,,,,,18,
1922,Eduskuntavaalit,Paikat,53,,35,45,,,25,,,,,,,,,,,,,,,15,,,,,,,27,
1919,Eduskuntavaalit,Paikat,80,,28,42,,,22,,,,,,,,,,,,,,,26,,,,,,,,2
